config,module,is_top,area_um2,area_mm2
E4M3_E2M1_UE2M6_vec16,BFP_PE,True,19405.134,0.019405133999999997
E4M3_E2M1_UE2M6_vec16,FP32Adder,False,618.534,0.000618534
E4M3_E2M1_UE2M6_vec16,ScaleAddition_E4M3_to_E2M1_scale_UE2M6,False,353.556,0.000353556
E4M3_E2M1_UE2M6_vec16,ScaleToFP32_E4M3_x_E2M1_UE2M6,False,211.176,0.00021117599999999999
E4M3_E2M1_UE2M6_vec16,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE2M6_vec32,BFP_PE,True,38710.35,0.03871035
E4M3_E2M1_UE2M6_vec32,FP32Adder,False,618.534,0.000618534
E4M3_E2M1_UE2M6_vec32,ScaleAddition_E4M3_to_E2M1_scale_UE2M6,False,353.556,0.000353556
E4M3_E2M1_UE2M6_vec32,ScaleToFP32_E4M3_x_E2M1_UE2M6,False,211.176,0.00021117599999999999
E4M3_E2M1_UE2M6_vec32,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE2M6_vec4,BFP_PE,True,4926.222,0.004926221999999999
E4M3_E2M1_UE2M6_vec4,FP32Adder,False,618.534,0.000618534
E4M3_E2M1_UE2M6_vec4,ScaleAddition_E4M3_to_E2M1_scale_UE2M6,False,353.556,0.000353556
E4M3_E2M1_UE2M6_vec4,ScaleToFP32_E4M3_x_E2M1_UE2M6,False,211.176,0.00021117599999999999
E4M3_E2M1_UE2M6_vec4,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE4M4_vec16,BFP_PE,True,17752.014,0.017752014
E4M3_E2M1_UE4M4_vec16,FP32Adder,False,618.534,0.000618534
E4M3_E2M1_UE4M4_vec16,ScaleAddition_E4M3_to_E2M1_scale_UE4M4,False,243.558,0.00024355799999999997
E4M3_E2M1_UE4M4_vec16,ScaleToFP32_E4M3_x_E2M1_UE4M4,False,217.854,0.000217854
E4M3_E2M1_UE4M4_vec16,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE4M4_vec32,BFP_PE,True,35404.11,0.035404109999999996
E4M3_E2M1_UE4M4_vec32,FP32Adder,False,618.534,0.000618534
E4M3_E2M1_UE4M4_vec32,ScaleAddition_E4M3_to_E2M1_scale_UE4M4,False,243.558,0.00024355799999999997
E4M3_E2M1_UE4M4_vec32,ScaleToFP32_E4M3_x_E2M1_UE4M4,False,217.854,0.000217854
E4M3_E2M1_UE4M4_vec32,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE4M4_vec4,BFP_PE,True,4512.942,0.004512942
E4M3_E2M1_UE4M4_vec4,FP32Adder,False,618.534,0.000618534
E4M3_E2M1_UE4M4_vec4,ScaleAddition_E4M3_to_E2M1_scale_UE4M4,False,243.558,0.00024355799999999997
E4M3_E2M1_UE4M4_vec4,ScaleToFP32_E4M3_x_E2M1_UE4M4,False,217.854,0.000217854
E4M3_E2M1_UE4M4_vec4,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE6M2_vec16,BFP_PE,True,16334.766,0.016334766
E4M3_E2M1_UE6M2_vec16,FP32Adder,False,618.534,0.000618534
E4M3_E2M1_UE6M2_vec16,ScaleToFP32_E4M3_x_E2M1_UE6M2,False,223.398,0.00022339799999999998
