variant,baseline,arch,mul_a,mul_b,scale,vec_width,synth_freq_mhz,area_um2,submodule_areas,power_default_W,submodule_powers,critical_path_ns,max_freq_mhz
archI_INT8xINT8_UE8M0_V4,custom,archI,INT8,INT8,UE8M0,4,500,1542.870002,"CustomOperator_INT8_to_INT8_0: 147.0420 (1 inst); CustomOperator_INT8_to_INT8_1: 147.5460 (1 inst); CustomOperator_INT8_to_INT8_2: 146.1600 (1 inst); CustomOperator_INT8_to_INT8_3: 146.2860 (1 inst); DirectToFP14b_INT8_x_INT8_UE8M0: 73.2060 (1 inst); FPNAdder: 407.9880 (1 inst); FixedFPTree_exp6_mant14_out14_vec4_range0_intonly: 403.4520 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",8.512000e-04,"CustomOperator_INT8_to_INT8_0: 8.090e-05 (1 inst); CustomOperator_INT8_to_INT8_1: 8.110e-05 (1 inst); CustomOperator_INT8_to_INT8_2: 8.020e-05 (1 inst); CustomOperator_INT8_to_INT8_3: 8.010e-05 (1 inst); DirectToFP14b_INT8_x_INT8_UE8M0: 4.050e-05 (1 inst); FPNAdder: 1.800e-04 (1 inst); FixedFPTree_exp6_mant14_out14_vec4_range0_intonly: 2.980e-04 (1 inst); SNPS_CLOCK_GATE: 5.860e-07 (1 inst)",1.93,518.1
archII_E2M1xE2M1_UE8M0_V4,custom,archII,E2M1,E2M1,UE8M0,4,500,880.992000,"CustomOperator_E2M1_to_E2M1_0: 9.1980 (1 inst); CustomOperator_E2M1_to_E2M1_1: 9.0720 (1 inst); CustomOperator_E2M1_to_E2M1_2: 9.1980 (1 inst); CustomOperator_E2M1_to_E2M1_3: 9.5760 (1 inst); DirectToFP14b_E2M1_x_E2M1_UE8M0: 56.7000 (1 inst); FPNAdder: 402.6960 (1 inst); FixedFPTree_exp4_mant4_out4_vec4_range4_smallshift: 313.7400 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",3.548000e-04,"CustomOperator_E2M1_to_E2M1_0: 3.060e-06 (1 inst); CustomOperator_E2M1_to_E2M1_1: 3.080e-06 (1 inst); CustomOperator_E2M1_to_E2M1_2: 3.090e-06 (1 inst); CustomOperator_E2M1_to_E2M1_3: 3.270e-06 (1 inst); DirectToFP14b_E2M1_x_E2M1_UE8M0: 3.160e-05 (1 inst); FPNAdder: 1.200e-04 (1 inst); FixedFPTree_exp4_mant4_out4_vec4_range4_smallshift: 1.830e-04 (1 inst); SNPS_CLOCK_GATE: 5.930e-07 (1 inst)",1.93,518.1
archII_E2M1xE2M3_UE8M0_V4,custom,archII,E2M1,E2M3,UE8M0,4,500,998.046000,"CustomOperator_E2M1_to_E2M3_0: 16.5060 (1 inst); CustomOperator_E2M1_to_E2M3_1: 16.3800 (1 inst); CustomOperator_E2M1_to_E2M3_2: 16.8840 (1 inst); CustomOperator_E2M1_to_E2M3_3: 17.3880 (1 inst); DirectToFP14b_E2M1_x_E2M3_UE8M0: 56.1960 (1 inst); FPNAdder: 402.9480 (1 inst); FixedFPTree_exp4_mant6_out6_vec4_range4_smallshift: 400.8060 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",4.442000e-04,"CustomOperator_E2M1_to_E2M3_0: 5.780e-06 (1 inst); CustomOperator_E2M1_to_E2M3_1: 5.680e-06 (1 inst); CustomOperator_E2M1_to_E2M3_2: 6.000e-06 (1 inst); CustomOperator_E2M1_to_E2M3_3: 6.180e-06 (1 inst); DirectToFP14b_E2M1_x_E2M3_UE8M0: 3.110e-05 (1 inst); FPNAdder: 1.340e-04 (1 inst); FixedFPTree_exp4_mant6_out6_vec4_range4_smallshift: 2.480e-04 (1 inst); SNPS_CLOCK_GATE: 5.860e-07 (1 inst)",1.93,518.1
archII_E2M3xE2M3_UE8M0_V4,custom,archII,E2M3,E2M3,UE8M0,4,500,1144.710000,"CustomOperator_E2M3_to_E2M3_0: 38.0520 (1 inst); CustomOperator_E2M3_to_E2M3_1: 38.4300 (1 inst); CustomOperator_E2M3_to_E2M3_2: 38.1780 (1 inst); CustomOperator_E2M3_to_E2M3_3: 38.9340 (1 inst); DirectToFP14b_E2M3_x_E2M3_UE8M0: 59.3460 (1 inst); FPNAdder: 395.7660 (1 inst); FixedFPTree_exp4_mant8_out8_vec4_range4_smallshift: 466.0740 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",5.461000e-04,"CustomOperator_E2M3_to_E2M3_0: 1.360e-05 (1 inst); CustomOperator_E2M3_to_E2M3_1: 1.370e-05 (1 inst); CustomOperator_E2M3_to_E2M3_2: 1.390e-05 (1 inst); CustomOperator_E2M3_to_E2M3_3: 1.390e-05 (1 inst); DirectToFP14b_E2M3_x_E2M3_UE8M0: 3.300e-05 (1 inst); FPNAdder: 1.470e-04 (1 inst); FixedFPTree_exp4_mant8_out8_vec4_range4_smallshift: 3.030e-04 (1 inst); SNPS_CLOCK_GATE: 5.780e-07 (1 inst)",1.93,518.1
archIII_E3M2xE3M2_UE8M0_V4,custom,archIII,E3M2,E3M2,UE8M0,4,500,1528.002000,"CustomOperator_E3M2_to_E3M2_0: 31.7520 (1 inst); CustomOperator_E3M2_to_E3M2_1: 33.8940 (1 inst); CustomOperator_E3M2_to_E3M2_2: 38.0520 (1 inst); CustomOperator_E3M2_to_E3M2_3: 38.1780 (1 inst); DirectToFP14b_E3M2_x_E3M2_UE8M0: 59.7240 (1 inst); FPNAdder: 458.2620 (1 inst); FixedFPTree_exp5_mant6_out6_vec4_range12_twostage: 796.9500 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",6.544000e-04,"CustomOperator_E3M2_to_E3M2_0: 1.130e-05 (1 inst); CustomOperator_E3M2_to_E3M2_1: 1.230e-05 (1 inst); CustomOperator_E3M2_to_E3M2_2: 1.310e-05 (1 inst); CustomOperator_E3M2_to_E3M2_3: 1.330e-05 (1 inst); DirectToFP14b_E3M2_x_E3M2_UE8M0: 3.250e-05 (1 inst); FPNAdder: 1.580e-04 (1 inst); FixedFPTree_exp5_mant6_out6_vec4_range12_twostage: 4.050e-04 (1 inst); SNPS_CLOCK_GATE: 5.920e-07 (1 inst)",1.93,518.1
archIII_E3M2xE4M3_UE8M0_V4,custom,archIII,E3M2,E4M3,UE8M0,4,500,2256.408004,"CustomOperator_E3M2_to_E4M3_0: 42.7140 (1 inst); CustomOperator_E3M2_to_E4M3_1: 43.0920 (1 inst); CustomOperator_E3M2_to_E4M3_2: 52.2900 (1 inst); CustomOperator_E3M2_to_E4M3_3: 51.7860 (1 inst); DirectToFP14b_E3M2_x_E4M3_UE8M0: 69.5520 (1 inst); FPNAdder: 489.0060 (1 inst); FixedFPTree_exp6_mant7_out7_vec4_range20_twostage: 1435.0140 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",9.691000e-04,"CustomOperator_E3M2_to_E4M3_0: 1.700e-05 (1 inst); CustomOperator_E3M2_to_E4M3_1: 1.650e-05 (1 inst); CustomOperator_E3M2_to_E4M3_2: 2.070e-05 (1 inst); CustomOperator_E3M2_to_E4M3_3: 1.990e-05 (1 inst); DirectToFP14b_E3M2_x_E4M3_UE8M0: 4.050e-05 (1 inst); FPNAdder: 1.800e-04 (1 inst); FixedFPTree_exp6_mant7_out7_vec4_range20_twostage: 6.650e-04 (1 inst); SNPS_CLOCK_GATE: 5.960e-07 (1 inst)",1.93,518.1
archIII_E4M3xE4M3_UE8M0_V4,custom,archIII,E4M3,E4M3,UE8M0,4,500,2732.940001,"CustomOperator_E4M3_to_E4M3_0: 56.7000 (1 inst); CustomOperator_E4M3_to_E4M3_1: 58.9680 (1 inst); CustomOperator_E4M3_to_E4M3_2: 79.6320 (1 inst); CustomOperator_E4M3_to_E4M3_3: 73.9620 (1 inst); DirectToFP14b_E4M3_x_E4M3_UE8M0: 73.9620 (1 inst); FPNAdder: 491.0220 (1 inst); FixedFPTree_exp6_mant8_out8_vec4_range28_twostage: 1821.9600 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",1.149000e-03,"CustomOperator_E4M3_to_E4M3_0: 2.300e-05 (1 inst); CustomOperator_E4M3_to_E4M3_1: 2.300e-05 (1 inst); CustomOperator_E4M3_to_E4M3_2: 3.000e-05 (1 inst); CustomOperator_E4M3_to_E4M3_3: 2.840e-05 (1 inst); DirectToFP14b_E4M3_x_E4M3_UE8M0: 4.210e-05 (1 inst); FPNAdder: 1.910e-04 (1 inst); FixedFPTree_exp6_mant8_out8_vec4_range28_twostage: 8.020e-04 (1 inst); SNPS_CLOCK_GATE: 5.870e-07 (1 inst)",1.93,518.1
archIII_INT8xE4M3_UE8M0_V4,custom,archIII,INT8,E4M3,UE8M0,4,500,2257.290000,"CustomOperator_INT8_to_E4M3_0: 72.4500 (1 inst); CustomOperator_INT8_to_E4M3_1: 72.9540 (1 inst); CustomOperator_INT8_to_E4M3_2: 77.8680 (1 inst); CustomOperator_INT8_to_E4M3_3: 75.3480 (1 inst); DirectToFP14b_INT8_x_E4M3_UE8M0: 78.8760 (1 inst); FPNAdder: 485.4780 (1 inst); FixedFPTree_exp6_mant11_out11_vec4_range14_twostage: 1323.1260 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",1.088000e-03,"CustomOperator_INT8_to_E4M3_0: 3.170e-05 (1 inst); CustomOperator_INT8_to_E4M3_1: 3.210e-05 (1 inst); CustomOperator_INT8_to_E4M3_2: 3.410e-05 (1 inst); CustomOperator_INT8_to_E4M3_3: 3.290e-05 (1 inst); DirectToFP14b_INT8_x_E4M3_UE8M0: 4.740e-05 (1 inst); FPNAdder: 2.080e-04 (1 inst); FixedFPTree_exp6_mant11_out11_vec4_range14_twostage: 6.920e-04 (1 inst); SNPS_CLOCK_GATE: 5.930e-07 (1 inst)",1.93,518.1
archIII_INT8xE5M2_UE8M0_V4,custom,archIII,INT8,E5M2,UE8M0,4,500,3022.110000,"CustomOperator_INT8_to_E5M2_0: 59.0940 (1 inst); CustomOperator_INT8_to_E5M2_1: 59.5980 (1 inst); CustomOperator_INT8_to_E5M2_2: 65.2680 (1 inst); CustomOperator_INT8_to_E5M2_3: 69.4260 (1 inst); DirectToFP14b_INT8_x_E5M2_UE8M0: 84.2940 (1 inst); FPNAdder: 536.5080 (1 inst); FixedFPTree_exp7_mant10_out10_vec4_range29_twostage: 2066.5260 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",1.419000e-03,"CustomOperator_INT8_to_E5M2_0: 2.530e-05 (1 inst); CustomOperator_INT8_to_E5M2_1: 2.640e-05 (1 inst); CustomOperator_INT8_to_E5M2_2: 2.680e-05 (1 inst); CustomOperator_INT8_to_E5M2_3: 2.720e-05 (1 inst); DirectToFP14b_INT8_x_E5M2_UE8M0: 5.060e-05 (1 inst); FPNAdder: 2.270e-04 (1 inst); FixedFPTree_exp7_mant10_out10_vec4_range29_twostage: 1.020e-03 (1 inst); SNPS_CLOCK_GATE: 5.940e-07 (1 inst)",1.93,518.1
archII_INT8xE2M1_UE8M0_V4,custom,archII,INT8,E2M1,UE8M0,4,500,1078.938001,"CustomOperator_INT8_to_E2M1_0: 34.0200 (1 inst); CustomOperator_INT8_to_E2M1_1: 33.8940 (1 inst); CustomOperator_INT8_to_E2M1_2: 33.2640 (1 inst); CustomOperator_INT8_to_E2M1_3: 34.0200 (1 inst); DirectToFP14b_INT8_x_E2M1_UE8M0: 62.6220 (1 inst); FPNAdder: 405.5940 (1 inst); FixedFPTree_exp5_mant9_out9_vec4_range2_smallshift: 404.3340 (1 inst); SNPS_CLOCK_GATE: 1.8900 (1 inst)",5.169000e-04,"CustomOperator_INT8_to_E2M1_0: 1.220e-05 (1 inst); CustomOperator_INT8_to_E2M1_1: 1.200e-05 (1 inst); CustomOperator_INT8_to_E2M1_2: 1.170e-05 (1 inst); CustomOperator_INT8_to_E2M1_3: 1.190e-05 (1 inst); DirectToFP14b_INT8_x_E2M1_UE8M0: 3.580e-05 (1 inst); FPNAdder: 1.510e-04 (1 inst); FixedFPTree_exp5_mant9_out9_vec4_range2_smallshift: 2.730e-04 (1 inst); SNPS_CLOCK_GATE: 5.860e-07 (1 inst)",1.93,518.1
