config,module,is_top,area_um2,area_mm2
E4M3_E2M1_UE2M6_vec16,BFP_PE,True,12938.562,0.012938561999999999
E4M3_E2M1_UE2M6_vec16,FP32Adder,False,608.958,0.0006089579999999999
E4M3_E2M1_UE2M6_vec16,CustomFPAdder_exp7_mant20,False,404.334,0.000404334
E4M3_E2M1_UE2M6_vec16,ScaleAddition_E4M3_to_E2M1_scale_UE2M6,False,355.95,0.00035594999999999995
E4M3_E2M1_UE2M6_vec16,ScaleToFP32_E4M3_x_E2M1_UE2M6,False,96.516,9.6516e-05
E4M3_E2M1_UE2M6_vec16,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE2M6_vec32,BFP_PE,True,25476.066,0.025476066
E4M3_E2M1_UE2M6_vec32,FP32Adder,False,608.958,0.0006089579999999999
E4M3_E2M1_UE2M6_vec32,CustomFPAdder_exp7_mant20,False,404.334,0.000404334
E4M3_E2M1_UE2M6_vec32,ScaleAddition_E4M3_to_E2M1_scale_UE2M6,False,355.95,0.00035594999999999995
E4M3_E2M1_UE2M6_vec32,ScaleToFP32_E4M3_x_E2M1_UE2M6,False,96.516,9.6516e-05
E4M3_E2M1_UE2M6_vec32,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE2M6_vec4,BFP_PE,True,3535.434,0.003535434
E4M3_E2M1_UE2M6_vec4,FP32Adder,False,608.958,0.0006089579999999999
E4M3_E2M1_UE2M6_vec4,CustomFPAdder_exp7_mant20,False,404.334,0.000404334
E4M3_E2M1_UE2M6_vec4,ScaleAddition_E4M3_to_E2M1_scale_UE2M6,False,355.95,0.00035594999999999995
E4M3_E2M1_UE2M6_vec4,ScaleToFP32_E4M3_x_E2M1_UE2M6,False,96.516,9.6516e-05
E4M3_E2M1_UE2M6_vec4,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE4M4_vec16,BFP_PE,True,9880.038,0.009880038
E4M3_E2M1_UE4M4_vec16,FP32Adder,False,608.958,0.0006089579999999999
E4M3_E2M1_UE4M4_vec16,CustomFPAdder_exp7_mant16,False,321.678,0.000321678
E4M3_E2M1_UE4M4_vec16,ScaleAddition_E4M3_to_E2M1_scale_UE4M4,False,243.558,0.00024355799999999997
E4M3_E2M1_UE4M4_vec16,ScaleToFP32_E4M3_x_E2M1_UE4M4,False,76.104,7.6104e-05
E4M3_E2M1_UE4M4_vec16,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE4M4_vec32,BFP_PE,True,19296.774,0.019296774
E4M3_E2M1_UE4M4_vec32,FP32Adder,False,608.958,0.0006089579999999999
E4M3_E2M1_UE4M4_vec32,CustomFPAdder_exp7_mant16,False,321.678,0.000321678
E4M3_E2M1_UE4M4_vec32,ScaleAddition_E4M3_to_E2M1_scale_UE4M4,False,243.558,0.00024355799999999997
E4M3_E2M1_UE4M4_vec32,ScaleToFP32_E4M3_x_E2M1_UE4M4,False,76.104,7.6104e-05
E4M3_E2M1_UE4M4_vec32,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE4M4_vec4,BFP_PE,True,2817.486,0.0028174859999999997
E4M3_E2M1_UE4M4_vec4,FP32Adder,False,608.958,0.0006089579999999999
E4M3_E2M1_UE4M4_vec4,CustomFPAdder_exp7_mant16,False,321.678,0.000321678
E4M3_E2M1_UE4M4_vec4,ScaleAddition_E4M3_to_E2M1_scale_UE4M4,False,243.558,0.00024355799999999997
E4M3_E2M1_UE4M4_vec4,ScaleToFP32_E4M3_x_E2M1_UE4M4,False,76.104,7.6104e-05
E4M3_E2M1_UE4M4_vec4,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE6M2_vec16,BFP_PE,True,7434.126,0.007434126
E4M3_E2M1_UE6M2_vec16,FP32Adder,False,611.352,0.0006113519999999999
E4M3_E2M1_UE6M2_vec16,CustomFPAdder_exp9_mant12,False,259.308,0.000259308
E4M3_E2M1_UE6M2_vec16,ScaleAddition_E4M3_to_E2M1_scale_UE6M2,False,149.436,0.000149436
E4M3_E2M1_UE6M2_vec16,ScaleToFP32_E4M3_x_E2M1_UE6M2,False,69.3,6.929999999999999e-05
E4M3_E2M1_UE6M2_vec16,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE6M2_vec32,BFP_PE,True,14346.99,0.014346989999999999
E4M3_E2M1_UE6M2_vec32,FP32Adder,False,611.352,0.0006113519999999999
E4M3_E2M1_UE6M2_vec32,CustomFPAdder_exp9_mant12,False,259.308,0.000259308
E4M3_E2M1_UE6M2_vec32,ScaleAddition_E4M3_to_E2M1_scale_UE6M2,False,149.436,0.000149436
E4M3_E2M1_UE6M2_vec32,ScaleToFP32_E4M3_x_E2M1_UE6M2,False,69.3,6.929999999999999e-05
E4M3_E2M1_UE6M2_vec32,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE6M2_vec4,BFP_PE,True,2249.478,0.002249478
E4M3_E2M1_UE6M2_vec4,FP32Adder,False,611.352,0.0006113519999999999
E4M3_E2M1_UE6M2_vec4,CustomFPAdder_exp9_mant12,False,259.308,0.000259308
E4M3_E2M1_UE6M2_vec4,ScaleAddition_E4M3_to_E2M1_scale_UE6M2,False,149.436,0.000149436
E4M3_E2M1_UE6M2_vec4,ScaleToFP32_E4M3_x_E2M1_UE6M2,False,69.3,6.929999999999999e-05
E4M3_E2M1_UE6M2_vec4,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE8M0_vec16,BFP_PE,True,5343.66,0.005343659999999999
E4M3_E2M1_UE8M0_vec16,FP32Adder,False,591.066,0.000591066
E4M3_E2M1_UE8M0_vec16,CustomFPAdder_exp11_mant8,False,201.852,0.000201852
E4M3_E2M1_UE8M0_vec16,ScaleAddition_E4M3_to_E2M1_scale_UE8M0,False,74.718,7.4718e-05
E4M3_E2M1_UE8M0_vec16,ScaleToFP32_E4M3_x_E2M1_UE8M0,False,56.448,5.6448e-05
E4M3_E2M1_UE8M0_vec16,CustomOperator_E4M3_to_E2M1,False,23.31,2.331e-05
E4M3_E2M1_UE8M0_vec32,BFP_PE,True,10141.74,0.01014174
E4M3_E2M1_UE8M0_vec32,FP32Adder,False,591.066,0.000591066
E4M3_E2M1_UE8M0_vec32,CustomFPAdder_exp11_mant8,False,201.852,0.000201852
E4M3_E2M1_UE8M0_vec32,ScaleAddition_E4M3_to_E2M1_scale_UE8M0,False,74.718,7.4718e-05
E4M3_E2M1_UE8M0_vec32,ScaleToFP32_E4M3_x_E2M1_UE8M0,False,56.448,5.6448e-05
