config,top_area_um2,top_area_mm2,status,tag
E4M3_E2M1_UE2M6_vec16,19405.134,0.019405133999999997,OK,260408-193351_E4M3_E2M1_UE2M6_vec16
E4M3_E2M1_UE2M6_vec32,38710.35,0.03871035,OK,260408-193358_E4M3_E2M1_UE2M6_vec32
E4M3_E2M1_UE2M6_vec4,4926.222,0.004926221999999999,OK,260408-193406_E4M3_E2M1_UE2M6_vec4
E4M3_E2M1_UE4M4_vec16,17752.014,0.017752014,OK,260408-193413_E4M3_E2M1_UE4M4_vec16
E4M3_E2M1_UE4M4_vec32,35404.11,0.035404109999999996,OK,260408-193421_E4M3_E2M1_UE4M4_vec32
E4M3_E2M1_UE4M4_vec4,4512.942,0.004512942,OK,260408-193428_E4M3_E2M1_UE4M4_vec4
E4M3_E2M1_UE6M2_vec16,16334.766,0.016334766,OK,260408-193435_E4M3_E2M1_UE6M2_vec16
E4M3_E2M1_UE6M2_vec32,32569.614,0.032569614,OK,260408-193443_E4M3_E2M1_UE6M2_vec32
E4M3_E2M1_UE6M2_vec4,4158.63,0.00415863,OK,260408-193450_E4M3_E2M1_UE6M2_vec4
E4M3_E2M1_UE8M0_vec16,15238.062,0.015238061999999998,OK,260408-193457_E4M3_E2M1_UE8M0_vec16
E4M3_E2M1_UE8M0_vec32,30376.206,0.030376205999999996,OK,260408-193504_E4M3_E2M1_UE8M0_vec32
E4M3_E2M1_UE8M0_vec4,3884.454,0.003884454,OK,260408-193511_E4M3_E2M1_UE8M0_vec4
E4M3_E2M3_UE2M6_vec16,21096.558,0.021096558,OK,260408-193518_E4M3_E2M3_UE2M6_vec16
E4M3_E2M3_UE2M6_vec32,42093.198,0.04209319799999999,OK,260408-193525_E4M3_E2M3_UE2M6_vec32
E4M3_E2M3_UE2M6_vec4,5349.078,0.005349078,OK,260408-193533_E4M3_E2M3_UE2M6_vec4
E4M3_E2M3_UE4M4_vec16,19130.958,0.019130957999999997,OK,260408-193540_E4M3_E2M3_UE4M4_vec16
E4M3_E2M3_UE4M4_vec32,38161.998,0.038161997999999996,OK,260408-193547_E4M3_E2M3_UE4M4_vec32
E4M3_E2M3_UE4M4_vec4,4857.678,0.004857678,OK,260408-193555_E4M3_E2M3_UE4M4_vec4
E4M3_E2M3_UE6M2_vec16,17266.158,0.017266158,OK,260408-193602_E4M3_E2M3_UE6M2_vec16
E4M3_E2M3_UE6M2_vec32,34432.398,0.034432398,OK,260408-193609_E4M3_E2M3_UE6M2_vec32
E4M3_E2M3_UE6M2_vec4,4391.478,0.004391478,OK,260408-193616_E4M3_E2M3_UE6M2_vec4
E4M3_E2M3_UE8M0_vec16,15596.91,0.015596909999999999,OK,260408-193623_E4M3_E2M3_UE8M0_vec16
E4M3_E2M3_UE8M0_vec32,31093.902,0.031093901999999996,OK,260408-193630_E4M3_E2M3_UE8M0_vec32
E4M3_E2M3_UE8M0_vec4,3974.166,0.003974166,OK,260408-193637_E4M3_E2M3_UE8M0_vec4
