net,length_um
accumulator._0041_,205.49
accumulator._1148_,192.4
accumulator._0922_,181.22
accumulator._0395_,165.91
accumulator._0079_,160.43
scaleAdd._312_,158.34
accumulator._1196_,156.79
accumulator._0918_,153.18
accumulator._0406_,152.4
accumulator._0103_,149.9
accumulator._0104_,148.06
accumulator._0523_,145.74
scaleAdd._313_,144.92
operator.io_outMant\[1\],143.42
scaleAdd._330_,143.16
accumulator.io_accOut\[13\],143.08
accumulator.io_accOut\[15\],141.4
accumulator._0036_,141.075
accumulator._0400_,139.27
accumulator._0715_,139.26
scaleAdd._318_,139.05
accumulator._0394_,138.31
accumulator.io_accOut\[12\],132.37
accumulator._0398_,132.3
net23,131.34
accumulator._0177_,131.02
accumulator.io_accOut\[7\],130.5
accumulator._0475_,130.46
accumulator._0405_,128.64
net35,127.14
net47,125.32
accumulator._0091_,124.31
accumulator._0921_,124.01
accumulator._0543_,122.66
accumulator._0848_,122.38
net22,120
accumulator._0111_,117.335
accumulator._0403_,115
accumulator._1147_,114.7
accumulator._0167_,113.53
accumulator._0651_,112.9
scaleAdd._234_,112.5
scaleAdd._216_,112.35
accumulator.io_accOut\[20\],112.25
accumulator._0919_,112.19
accumulator._0404_,111.67
accumulator._0397_,111.4
accumulator.io_accOut\[19\],111.05
accumulator._0414_,111.04
accumulator._1137_,110.68
accumulator._0501_,110.39
accumulator.io_accOut\[21\],110.28
accumulator._1141_,109.1
net33,108.12
operator.io_outMant\[0\],107.86
accumulator._0825_,107.77
accumulator._0110_,107.5
accumulator._0635_,107.27
net29,107.12
accumulator._0539_,106.72
accumulator._0451_,106.195
accumulator._1036_,105.3
net52,103.32
accumulator._0469_,102.68
accumulator._0733_,102.46
net31,102.36
accumulator.io_accOut\[3\],102.35
accumulator._0923_,102.34
accumulator._0093_,102.2
accumulator._0118_,102.07
accumulator._0992_,101.32
accumulator._1111_,101.24
net8,101.08
net13,101.015
scaleAdd._195_,100.8
accumulator.io_accOut\[11\],100.76
accumulator._0599_,100.26
