config,elA,elW,scale,prodMantW,pMax,pMinVal,intBits,belowAnchor,aboveAnchor,sopFieldW,scaleMantProdW,scaledTermW,finalAdderW
E5M2_E5M2_UE8M0,E5M2,E5M2,UE8M0,6,31,-32,32,32,34,67,0,67,76
E5M2_E5M2_UE7M1,E5M2,E5M2,UE7M1,6,31,-32,32,32,34,67,4,71,80
E5M2_E5M2_UE6M2,E5M2,E5M2,UE6M2,6,31,-32,32,32,34,67,6,73,82
E5M2_E5M2_UE5M3,E5M2,E5M2,UE5M3,6,31,-32,32,32,34,67,8,75,84
E5M2_E5M2_UE4M4,E5M2,E5M2,UE4M4,6,31,-32,32,32,34,67,10,77,86
E5M2_E5M2_UE4M3,E5M2,E5M2,UE4M3,6,31,-32,32,32,34,67,8,75,84
E5M2_E4M3_UE8M0,E5M2,E4M3,UE8M0,7,24,-25,25,25,27,53,0,53,62
E5M2_E4M3_UE7M1,E5M2,E4M3,UE7M1,7,24,-25,25,25,27,53,4,57,66
E5M2_E4M3_UE6M2,E5M2,E4M3,UE6M2,7,24,-25,25,25,27,53,6,59,68
E5M2_E4M3_UE5M3,E5M2,E4M3,UE5M3,7,24,-25,25,25,27,53,8,61,70
E5M2_E4M3_UE4M4,E5M2,E4M3,UE4M4,7,24,-25,25,25,27,53,10,63,72
E5M2_E4M3_UE4M3,E5M2,E4M3,UE4M3,7,24,-25,25,25,27,53,8,61,70
E5M2_E3M2_UE8M0,E5M2,E3M2,UE8M0,6,20,-20,21,20,23,44,0,44,53
E5M2_E3M2_UE7M1,E5M2,E3M2,UE7M1,6,20,-20,21,20,23,44,4,48,57
E5M2_E3M2_UE6M2,E5M2,E3M2,UE6M2,6,20,-20,21,20,23,44,6,50,59
E5M2_E3M2_UE5M3,E5M2,E3M2,UE5M3,6,20,-20,21,20,23,44,8,52,61
E5M2_E3M2_UE4M4,E5M2,E3M2,UE4M4,6,20,-20,21,20,23,44,10,54,63
E5M2_E3M2_UE4M3,E5M2,E3M2,UE4M3,6,20,-20,21,20,23,44,8,52,61
E5M2_E2M3_UE8M0,E5M2,E2M3,UE8M0,7,18,-19,19,19,21,41,0,41,50
E5M2_E2M3_UE7M1,E5M2,E2M3,UE7M1,7,18,-19,19,19,21,41,4,45,54
E5M2_E2M3_UE6M2,E5M2,E2M3,UE6M2,7,18,-19,19,19,21,41,6,47,56
E5M2_E2M3_UE5M3,E5M2,E2M3,UE5M3,7,18,-19,19,19,21,41,8,49,58
E5M2_E2M3_UE4M4,E5M2,E2M3,UE4M4,7,18,-19,19,19,21,41,10,51,60
E5M2_E2M3_UE4M3,E5M2,E2M3,UE4M3,7,18,-19,19,19,21,41,8,49,58
E5M2_E2M1_UE8M0,E5M2,E2M1,UE8M0,5,18,-17,19,17,21,39,0,39,48
E5M2_E2M1_UE7M1,E5M2,E2M1,UE7M1,5,18,-17,19,17,21,39,4,43,52
E5M2_E2M1_UE6M2,E5M2,E2M1,UE6M2,5,18,-17,19,17,21,39,6,45,54
E5M2_E2M1_UE5M3,E5M2,E2M1,UE5M3,5,18,-17,19,17,21,39,8,47,56
E5M2_E2M1_UE4M4,E5M2,E2M1,UE4M4,5,18,-17,19,17,21,39,10,49,58
E5M2_E2M1_UE4M3,E5M2,E2M1,UE4M3,5,18,-17,19,17,21,39,8,47,56
E5M2_INT8_UE8M0,E5M2,INT8,UE8M0,11,17,-22,18,22,20,43,0,43,52
E5M2_INT8_UE7M1,E5M2,INT8,UE7M1,11,17,-22,18,22,20,43,4,47,56
E5M2_INT8_UE6M2,E5M2,INT8,UE6M2,11,17,-22,18,22,20,43,6,49,58
E5M2_INT8_UE5M3,E5M2,INT8,UE5M3,11,17,-22,18,22,20,43,8,51,60
E5M2_INT8_UE4M4,E5M2,INT8,UE4M4,11,17,-22,18,22,20,43,10,53,62
E5M2_INT8_UE4M3,E5M2,INT8,UE4M3,11,17,-22,18,22,20,43,8,51,60
E4M3_E4M3_UE8M0,E4M3,E4M3,UE8M0,8,17,-18,18,18,20,39,0,39,48
E4M3_E4M3_UE7M1,E4M3,E4M3,UE7M1,8,17,-18,18,18,20,39,4,43,52
E4M3_E4M3_UE6M2,E4M3,E4M3,UE6M2,8,17,-18,18,18,20,39,6,45,54
E4M3_E4M3_UE5M3,E4M3,E4M3,UE5M3,8,17,-18,18,18,20,39,8,47,56
E4M3_E4M3_UE4M4,E4M3,E4M3,UE4M4,8,17,-18,18,18,20,39,10,49,58
E4M3_E4M3_UE4M3,E4M3,E4M3,UE4M3,8,17,-18,18,18,20,39,8,47,56
E4M3_E3M2_UE8M0,E4M3,E3M2,UE8M0,7,13,-13,14,13,16,30,0,30,39
E4M3_E3M2_UE7M1,E4M3,E3M2,UE7M1,7,13,-13,14,13,16,30,4,34,43
E4M3_E3M2_UE6M2,E4M3,E3M2,UE6M2,7,13,-13,14,13,16,30,6,36,45
E4M3_E3M2_UE5M3,E4M3,E3M2,UE5M3,7,13,-13,14,13,16,30,8,38,47
E4M3_E3M2_UE4M4,E4M3,E3M2,UE4M4,7,13,-13,14,13,16,30,10,40,49
E4M3_E3M2_UE4M3,E4M3,E3M2,UE4M3,7,13,-13,14,13,16,30,8,38,47
E4M3_E2M3_UE8M0,E4M3,E2M3,UE8M0,8,11,-12,12,12,14,27,0,27,36
E4M3_E2M3_UE7M1,E4M3,E2M3,UE7M1,8,11,-12,12,12,14,27,4,31,40
E4M3_E2M3_UE6M2,E4M3,E2M3,UE6M2,8,11,-12,12,12,14,27,6,33,42
E4M3_E2M3_UE5M3,E4M3,E2M3,UE5M3,8,11,-12,12,12,14,27,8,35,44
E4M3_E2M3_UE4M4,E4M3,E2M3,UE4M4,8,11,-12,12,12,14,27,10,37,46
E4M3_E2M3_UE4M3,E4M3,E2M3,UE4M3,8,11,-12,12,12,14,27,8,35,44
E4M3_E2M1_UE8M0,E4M3,E2M1,UE8M0,6,11,-10,12,10,14,25,0,25,34
E4M3_E2M1_UE7M1,E4M3,E2M1,UE7M1,6,11,-10,12,10,14,25,4,29,38
E4M3_E2M1_UE6M2,E4M3,E2M1,UE6M2,6,11,-10,12,10,14,25,6,31,40
E4M3_E2M1_UE5M3,E4M3,E2M1,UE5M3,6,11,-10,12,10,14,25,8,33,42
E4M3_E2M1_UE4M4,E4M3,E2M1,UE4M4,6,11,-10,12,10,14,25,10,35,44
E4M3_E2M1_UE4M3,E4M3,E2M1,UE4M3,6,11,-10,12,10,14,25,8,33,42
E4M3_INT8_UE8M0,E4M3,INT8,UE8M0,12,10,-15,11,15,13,29,0,29,38
