act,weight,scale,m_acc,source
INT8,INT8,UE8M0,12,iter_round3
INT8,INT8,UE7M1,14,scale_extrap
INT8,INT8,UE6M2,13,iter_round2
INT8,INT8,UE5M3,14,scale_extrap
INT8,INT8,UE4M4,13,iter_round2
INT8,INT8,UE4M3,14,scale_extrap
INT8,E5M2,UE8M0,14,symmetric_anchor
INT8,E5M2,UE7M1,14,symmetric_anchor
INT8,E5M2,UE6M2,14,symmetric_anchor
INT8,E5M2,UE5M3,14,symmetric_anchor
INT8,E5M2,UE4M4,14,symmetric_anchor
INT8,E5M2,UE4M3,14,symmetric_anchor
INT8,E4M3,UE8M0,14,symmetric_anchor
INT8,E4M3,UE7M1,14,symmetric_anchor
INT8,E4M3,UE6M2,14,symmetric_anchor
INT8,E4M3,UE5M3,14,symmetric_anchor
INT8,E4M3,UE4M4,14,symmetric_anchor
INT8,E4M3,UE4M3,14,symmetric_anchor
INT8,E3M2,UE8M0,14,symmetric_anchor
INT8,E3M2,UE7M1,14,symmetric_anchor
INT8,E3M2,UE6M2,14,symmetric_anchor
INT8,E3M2,UE5M3,14,symmetric_anchor
INT8,E3M2,UE4M4,14,symmetric_anchor
INT8,E3M2,UE4M3,14,symmetric_anchor
INT8,E2M3,UE8M0,14,symmetric_anchor
INT8,E2M3,UE7M1,14,symmetric_anchor
INT8,E2M3,UE6M2,14,symmetric_anchor
INT8,E2M3,UE5M3,14,symmetric_anchor
INT8,E2M3,UE4M4,14,symmetric_anchor
INT8,E2M3,UE4M3,14,symmetric_anchor
INT8,E2M1,UE8M0,14,symmetric_anchor
INT8,E2M1,UE7M1,14,symmetric_anchor
INT8,E2M1,UE6M2,14,symmetric_anchor
INT8,E2M1,UE5M3,14,symmetric_anchor
INT8,E2M1,UE4M4,14,symmetric_anchor
INT8,E2M1,UE4M3,14,symmetric_anchor
E5M2,E5M2,UE8M0,11,sweep+1_pilot_fail
E5M2,E5M2,UE7M1,11,scale_extrap
E5M2,E5M2,UE6M2,10,iter_round3
E5M2,E5M2,UE5M3,11,scale_extrap
E5M2,E5M2,UE4M4,10,iter_round2
E5M2,E5M2,UE4M3,11,scale_extrap
E5M2,E4M3,UE8M0,10,iter_round2
E5M2,E4M3,UE7M1,11,scale_extrap
E5M2,E4M3,UE6M2,10,iter_round3
E5M2,E4M3,UE5M3,11,scale_extrap
E5M2,E4M3,UE4M4,10,sweep
E5M2,E4M3,UE4M3,11,scale_extrap
E5M2,E3M2,UE8M0,11,symmetric_anchor
E5M2,E3M2,UE7M1,11,symmetric_anchor
E5M2,E3M2,UE6M2,11,symmetric_anchor
E5M2,E3M2,UE5M3,11,symmetric_anchor
E5M2,E3M2,UE4M4,11,symmetric_anchor
E5M2,E3M2,UE4M3,11,symmetric_anchor
E5M2,E2M3,UE8M0,11,symmetric_anchor
E5M2,E2M3,UE7M1,11,symmetric_anchor
E5M2,E2M3,UE6M2,11,symmetric_anchor
E5M2,E2M3,UE5M3,11,symmetric_anchor
E5M2,E2M3,UE4M4,11,symmetric_anchor
E5M2,E2M3,UE4M3,11,symmetric_anchor
E5M2,E2M1,UE8M0,11,symmetric_anchor
E5M2,E2M1,UE7M1,11,symmetric_anchor
E5M2,E2M1,UE6M2,11,symmetric_anchor
E5M2,E2M1,UE5M3,11,symmetric_anchor
E5M2,E2M1,UE4M4,11,symmetric_anchor
E5M2,E2M1,UE4M3,11,symmetric_anchor
E4M3,E4M3,UE8M0,12,iter_round5_revert
E4M3,E4M3,UE7M1,12,scale_extrap
E4M3,E4M3,UE6M2,13,sweep+1_pilot_fail
E4M3,E4M3,UE5M3,12,scale_extrap
E4M3,E4M3,UE4M4,13,sweep+1_pilot_fail
E4M3,E4M3,UE4M3,12,scale_extrap
E4M3,E3M2,UE8M0,12,symmetric_anchor
E4M3,E3M2,UE7M1,12,symmetric_anchor
E4M3,E3M2,UE6M2,12,symmetric_anchor
E4M3,E3M2,UE5M3,12,symmetric_anchor
E4M3,E3M2,UE4M4,12,symmetric_anchor
E4M3,E3M2,UE4M3,12,symmetric_anchor
E4M3,E2M3,UE8M0,12,symmetric_anchor
E4M3,E2M3,UE7M1,12,symmetric_anchor
E4M3,E2M3,UE6M2,12,symmetric_anchor
E4M3,E2M3,UE5M3,12,symmetric_anchor
E4M3,E2M3,UE4M4,12,symmetric_anchor
E4M3,E2M3,UE4M3,12,symmetric_anchor
E4M3,E2M1,UE8M0,11,sweep+1_pilot_fail
E4M3,E2M1,UE7M1,12,scale_extrap
E4M3,E2M1,UE6M2,13,sweep+1_pilot_fail
E4M3,E2M1,UE5M3,12,scale_extrap
E4M3,E2M1,UE4M4,11,iter_round2
E4M3,E2M1,UE4M3,12,scale_extrap
E3M2,E3M2,UE8M0,12,iter_round2
E3M2,E3M2,UE7M1,11,scale_extrap
E3M2,E3M2,UE6M2,11,iter_round4
E3M2,E3M2,UE5M3,11,scale_extrap
E3M2,E3M2,UE4M4,11,iter_round5_revert
E3M2,E3M2,UE4M3,11,scale_extrap
E3M2,E2M3,UE8M0,11,symmetric_anchor
E3M2,E2M3,UE7M1,11,symmetric_anchor
E3M2,E2M3,UE6M2,11,symmetric_anchor
E3M2,E2M3,UE5M3,11,symmetric_anchor
E3M2,E2M3,UE4M4,11,symmetric_anchor
E3M2,E2M3,UE4M3,11,symmetric_anchor
E3M2,E2M1,UE8M0,11,symmetric_anchor
E3M2,E2M1,UE7M1,11,symmetric_anchor
E3M2,E2M1,UE6M2,11,symmetric_anchor
E3M2,E2M1,UE5M3,11,symmetric_anchor
E3M2,E2M1,UE4M4,11,symmetric_anchor
E3M2,E2M1,UE4M3,11,symmetric_anchor
E2M3,E2M3,UE8M0,11,iter_round4
E2M3,E2M3,UE7M1,12,scale_extrap
E2M3,E2M3,UE6M2,12,sweep
E2M3,E2M3,UE5M3,12,scale_extrap
E2M3,E2M3,UE4M4,12,iter_round5_revert
E2M3,E2M3,UE4M3,12,scale_extrap
E2M3,E2M1,UE8M0,12,symmetric_anchor
E2M3,E2M1,UE7M1,12,symmetric_anchor
E2M3,E2M1,UE6M2,12,symmetric_anchor
E2M3,E2M1,UE5M3,12,symmetric_anchor
E2M3,E2M1,UE4M4,12,symmetric_anchor
E2M3,E2M1,UE4M3,12,symmetric_anchor
E2M1,E2M1,UE8M0,9,sweep+1_pilot_fail
E2M1,E2M1,UE7M1,10,scale_extrap
E2M1,E2M1,UE6M2,10,sweep+1_pilot_fail
E2M1,E2M1,UE5M3,10,scale_extrap
E2M1,E2M1,UE4M4,9,iter_round2
E2M1,E2M1,UE4M3,10,scale_extrap
